symbol,name,exchange,last_close,last_volume
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares,NASDAQ,10.729999542236328,137819.0
ATLX,Atlas Lithium Corporation - Common Stock,NASDAQ,2.9700000286102295,168091.0
ATOM,Atomera Incorporated - Common Stock,NASDAQ,5.239999771118164,965146.0
ATOS,"Atossa Therapeutics, Inc. - Common Stock",NASDAQ,2.390000104904175,35257.0
ATPC,Agape ATP Corporation - Common Stock,NASDAQ,2.5,105938.0
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",NASDAQ,8.539999961853027,32268.0
ATXG,Addentax Group Corp. - Common Stock,NASDAQ,3.259999990463257,7839.0
ATYR,"aTyr Pharma, Inc. - Common Stock",NASDAQ,0.5289999842643738,455804.0
AUC,ATIF Holdings Limited - Ordinary Shares,NASDAQ,6.53000020980835,969.0
AUDC,AudioCodes Ltd. - Ordinary Shares,NASDAQ,9.880000114440918,160249.0
AUID,authID Inc. - Common Stock,NASDAQ,0.7289000153541565,72412.0
AUNA,Auna SA Class A Ordinary Shares,NYSE,5.210000038146973,143131.0
AUR,"Aurora Innovation, Inc.  - Class A Common Stock",NASDAQ,6.690000057220459,23179145.0
AURA,"Aura Biosciences, Inc. - Common Stock",NASDAQ,7.179999828338623,314809.0
AURE,Aurelion Inc.  - Class A Ordinary Shares,NASDAQ,1.7799999713897705,10164.0
AUUD,Auddia Inc. - Common Stock,NASDAQ,1.0299999713897705,67188.0
AVAH,Aveanna Healthcare Holdings Inc. - Common Stock,NASDAQ,9.329999923706055,1805288.0
AVAT,Avalanche Treasury Corporation - Class A Common Stock,NASDAQ,0.34209999442100525,233821.0
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),NYSE,2.559999942779541,114820.0
AVIR,"Atea Pharmaceuticals, Inc. - common stock",NASDAQ,4.75,256383.0
AVO,"Mission Produce, Inc. - Common Stock",NASDAQ,12.149999618530273,2486992.0
AVPT,"AvePoint, Inc. - Class A Common Stock",NASDAQ,13.399999618530273,1961839.0
AVR,Anteris Technologies Global Corp. - Common Stock,NASDAQ,8.050000190734863,576086.0
AVTR,"Avantor, Inc. Common Stock",NYSE,13.359999656677246,8095307.0
AVX,Avax One Technology Ltd. - Common Shares,NASDAQ,3.140000104904175,8673.0
AVXL,Anavex Life Sciences Corp. - Common Stock,NASDAQ,3.200000047683716,1154145.0
AWRE,"Aware, Inc. - Common Stock",NASDAQ,1.274999976158142,48409.0
AXG,Solowin Holdings - Class A Ordinary Share,NASDAQ,2.7799999713897705,279445.0
AXIN,Axiom Intelligence Acquisition Corp 1 - Class A Ordinary Shares,NASDAQ,10.270000457763672,22548.0
AYTU,"Aytu BioPharma, Inc.  - Common Stock",NASDAQ,2.299999952316284,49800.0
AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,NASDAQ,6.03000020980835,191677.0
AZI,Autozi Internet Technology (Global) Ltd. - Class A Ordinary Shares,NASDAQ,1.0099999904632568,134841.0
AZIO,"Azio AI Holdings, Inc. - Common stock",NASDAQ,1.6200000047683716,174305.0
BACC,Blue Acquisition Corp. - Class A Ordinary Shares,NASDAQ,10.489999771118164,652.0
BAER,"Bridger Aerospace Group Holdings, Inc. - Common Stock",NASDAQ,1.7799999713897705,922772.0
