ticker,date,prior_close,open_price,gap_pct,high,low,close_price,volume,avg_volume,volume_ratio,daily_gain_high_from_open,daily_drawdown_low_from_open,close_vs_open_pct,intraday_open,max_gain_from_open,max_drawdown_from_open,max_drawdown_before_peak,risk_reward,time_of_peak,minutes_to_peak,time_of_low,intraday_high,intraday_low,intraday_close,intraday_source,bars,gap_bucket,price_bucket,trade_outcome,trade_entry_price,trade_exit_price,trade_exit_time,trade_return_pct,trade_minutes_held,trade_bars_held,trade_mfe_pct,trade_mae_pct
ACON,2026-04-22,3.5299999713897705,3.7200000286102295,5.382437925223424,3.9200000762939458,3.559999942779541,3.7300000190734863,888900,155280.0,5.724497681607419,5.376345326492771,4.301077543014524,0.2688169458695616,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ACB,2026-04-23,3.799999952316284,4.130000114440918,8.684214901726056,4.130000114440918,3.25,3.2799999713897705,7156300,1529990.0,4.677350832358381,0.0,21.30750823381138,-20.5811166948651,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ABTS,2026-04-30,1.1100000143051147,1.4700000286102295,32.432433303208825,1.5199999809265137,1.2100000381469729,1.3200000524520874,20981700,618600.0,33.9180407371484,3.4013572342277603,17.687073836934992,-10.2040798121586,,,,,,,,,,,,,,20-50%,$1-3,no_data,,,,,,,,
ADT,2026-04-30,7.170000076293945,7.599999904632568,5.9972081417449985,7.739999771118164,7.40500020980835,7.53000020980835,13549500,6558480.0,2.0659512569985727,1.84210352950477,2.565785490409769,-0.9210486276657786,,,,,,,,,,,,,,5-10%,$7-10,no_data,,,,,,,,
ADAM,2026-04-30,7.75,8.1899995803833,5.6774139404296875,9.31999969482422,8.020000457763672,8.979999542236328,3510800,710790.0,4.9392928994499075,13.797315901547735,2.0756914692256037,9.64590967434524,,,,,,,,,,,,,,5-10%,$7-10,no_data,,,,,,,,
ANGX,2026-05-01,2.569999933242798,2.819999933242798,9.72762671182457,3.1500000953674316,2.7699999809265137,3.1500000953674316,3780500,1540670.0,2.4538025664159098,11.702133685696838,1.773047996451114,11.702133685696838,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
ACCO,2026-05-01,3.2100000381469727,3.450000047683716,7.47663572226271,3.9600000381469727,3.450000047683716,3.950000047683716,3395200,618780.0,5.486925886421669,14.782608214908985,0.0,14.492753422878742,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ADVB,2026-05-04,5.269999980926514,6.139999866485596,16.508536787624966,6.760000228881836,5.320000171661377,5.960000038146973,4631200,141540.0,32.72007912957468,10.09772599150096,13.355044180050918,-2.931593359164861,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
AHMA,2026-05-06,1.100000023841858,1.7599999904632568,59.999995665116835,1.8240000009536743,1.4600000381469729,1.600000023841858,85656900,156940.0,545.7939339875112,3.636364252114102,17.045451928515064,-9.090907243657693,,,,,,,,,,,,,,50%+,$1-3,no_data,,,,,,,,
ACVA,2026-05-07,5.21999979019165,6.173999786376953,18.27586273045189,6.699999809265137,5.940000057220459,6.5,13348400,3566130.0,3.743105270980026,8.519598981017339,3.790083207855286,5.280210963764082,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
ACH,2026-05-11,3.5799999237060547,3.9700000286102295,10.893857911048292,4.690000057220459,3.380000114440918,3.890000104904175,2799600,680370.0,4.114819877419639,18.13602074109502,14.861458688096072,-2.015111413841982,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
AIRJ,2026-05-11,3.549999952316284,3.8299999237060542,7.887323243682798,3.875,3.559999942779541,3.819999933242798,1416500,388570.0,3.645417814036081,1.174936741262426,7.049607997517956,-0.2610963619440614,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AIIO,2026-05-13,1.2799999713897705,1.4450000524520874,12.890631621121576,2.7899999618530273,1.399999976158142,2.609999895095825,85701900,32275990.0,2.6552833855754696,93.07957512655778,3.1141920180267535,80.6228235540058,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
AIIO,2026-05-14,2.609999895095825,4.385000228881836,68.00767835742928,9.199999809265137,3.259999990463257,5.639999866485596,166489500,40832960.0,4.077331156007304,109.80614205375112,25.655648339736835,28.620286706889896,,,,,,,,,,,,,,50%+,$3-7,no_data,,,,,,,,
AMST,2026-05-19,0.7860000133514404,2.4200000762939453,207.88804518911655,2.6700000762939453,1.649999976158142,1.7300000190734863,149220900,2500600.0,59.6740382308246,10.33057818671051,31.81818495291135,-28.51239815980271,,,,,,,,,,,,,,50%+,$1-3,no_data,,,,,,,,
AMPG,2026-05-20,3.990000009536743,4.519999980926514,13.283207271252762,4.730000019073486,4.199999809265137,4.429999828338623,18598300,3436220.0,5.412429937547654,4.646018562679875,7.079649845391881,-1.9911538267184308,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
AIFA,2026-05-22,3.6659998893737793,4.745999813079834,29.459900608195017,5.940000057220459,3.180000066757202,3.5339999198913574,2628467,109863.2,23.924908431576725,25.158033947873236,32.99620328696144,-25.537293319065057,,,,,,,,,,,,,,20-50%,$3-7,no_data,,,,,,,,
ACXP,2026-05-22,1.9299999475479128,2.059999942779541,6.73575123133008,2.2200000286102295,1.9700000286102295,1.9700000286102295,249400,110330.0,2.260491253512191,7.766994673543616,4.368927993652047,-4.368927993652047,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
AIRJ,2026-05-22,3.940000057220459,4.204999923706055,6.725884838502881,4.715000152587891,4.190000057220459,4.369999885559082,2557700,864820.0,2.9574940450035845,12.12842421248726,0.3567150239654618,3.923899282918547,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AEMD,2026-05-26,2.200000047683716,2.5299999713897705,14.999996206977237,2.7200000286102295,2.2699999809265137,2.450000047683716,10521300,168380.0,62.48544957833472,7.509883769527825,10.276679581163576,-3.1620523561551437,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
AEMD,2026-05-27,2.450000047683716,2.8299999237060547,15.51019871944897,3.180000066757202,2.6500000953674316,3.069999933242798,16047700,1204940.0,13.318256510697628,12.367496554303834,6.360418133965971,8.48056593663963,,,,,,,,,,,,,,10-20%,$1-3,no_data,,,,,,,,
AHMA,2026-05-27,1.1399999856948853,1.2000000476837158,5.263163398397555,1.399999976158142,1.2000000476837158,1.2300000190734863,353300,142270.0,2.483306389259858,16.666660043928623,0.0,2.499997516473233,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
AIRO,2026-05-28,7.289999961853027,8.029999732971191,10.150888545821958,9.170000076293944,8.020000457763672,8.890000343322754,2667100,602160.0,4.42922146937691,14.196766889566767,0.1245239793279505,10.709846064133709,,,,,,,,,,,,,,10-20%,$7-10,no_data,,,,,,,,
AIIO,2026-06-01,2.369999885559082,3.0399999618530273,28.27004677833107,3.4000000953674316,2.880000114440918,2.9200000762939453,39019700,13141260.0,2.9692510459423223,11.842109803677983,5.2631529414422,-3.9473647060816504,,,,,,,,,,,,,,20-50%,$3-7,no_data,,,,,,,,
AIRJ,2026-06-01,4.489999771118164,4.875,8.574615779678707,5.46999979019165,4.829999923706055,5.199999809265137,3955700,1474280.0,2.68314024472963,12.205123901367188,0.9230784880809294,6.6666627541566505,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AISP,2026-06-02,2.9800000190734863,3.140000104904175,5.369130362637857,3.315000057220459,3.069999933242798,3.1600000858306885,1519100,693130.0,2.1916523595862247,5.573246702857189,2.2293047555013756,0.6369420464437858,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ACCL,2026-06-04,1.4800000190734863,1.840000033378601,24.324324977406615,2.1600000858306885,1.2999999523162842,1.309999942779541,15559000,256740.0,60.60216561501908,17.39130688299524,29.347829960131623,-28.804352227422296,1.7999999523162842,20.00000794728618,27.777778513637607,8.333332229543586,2.400001271565957,11:30,120.0,13:45,2.1600000858306885,1.2999999523162842,1.309999942779541,yfinance,77.0,20-50%,$1-3,TP,1.7799999713897705,1.9579999685287477,09:45,10.000000000000007,10.0,3.0,10.674160689570835,1.1235944521335182
