ticker,yf_bars,al_bars,bar_coverage,vol_coverage,matched_bars,close_mae_bps
BHST,487,55,0.10061601642710473,0.08598163310984389,49,67.5164653278816
RFL,1699,133,0.07828134196586227,0.08607799357300006,133,34.31560456567958
UROY,7209,2998,0.3953391593841032,0.08615813077370611,2850,11.982552801429573
DFLI,2778,718,0.18214542836573075,0.0868285354562612,506,20.63657531155876
OXBR,544,14,0.02022058823529412,0.08739255014326648,11,74.09976595140897
SCWO,820,109,0.08292682926829269,0.08766313458636014,68,37.05379518273831
RBBN,4644,2034,0.3423772609819121,0.08776510719538796,1590,13.089559863289331
REKR,5608,867,0.14407988587731813,0.08790534702955814,808,19.317666941905856
DARE,1734,469,0.1908881199538639,0.08799515587155246,331,29.104473745785175
ARQ,2902,989,0.24913852515506546,0.08825875434548482,723,13.567046851278311
FUFU,3189,422,0.10159924741298212,0.08847731700116382,324,30.310162231930345
SMHI,2105,375,0.17814726840855108,0.08989155592038077,375,13.203070745725121
GEVO,7485,2674,0.3409485637942552,0.09096460276400281,2552,19.485121266278664
PALI,6716,3787,0.5119118522930316,0.09373467228835633,3438,14.248254817080904
BRCC,4757,1269,0.26655455118772337,0.09441454834331339,1268,12.995012356388413
ESLA,354,21,0.0423728813559322,0.09650649176817026,15,155.12236858578987
MTEK,483,35,0.053830227743271224,0.09722053941405966,26,49.104322348526736
RAIN,372,33,0.053763440860215055,0.09932049431398092,20,60.24634623527963
LPL,7316,3450,0.4714324767632586,0.10024067384408446,3449,5.26255504962614
FOFO,531,25,0.018832391713747645,0.10124760076775433,10,36.09278738844712
GRNQ,119,4,0.008403361344537815,0.10214504596527069,1,0.00032885320244702143
KOS,8174,5216,0.6379985319305114,0.10259476145878471,5215,10.285680502397382
OVID,6243,3423,0.4723690533397405,0.10503068655469772,2949,12.609252413437591
CURV,2750,630,0.2290909090909091,0.10506098258081258,630,14.099860159389333
CCC,8132,6465,0.7926709296606,0.10684533876165807,6446,4.986492341536991
IBG,431,37,0.07888631090487239,0.10880325568830444,34,42.435593415906666
MNDO,598,32,0.04180602006688963,0.10915719337210322,25,47.88523065566266
OGG,3482,2830,0.408385985066054,0.10974588739161423,1422,8.982850946255326
AIFA,358,28,0.036312849162011177,0.11116006520685554,13,82.74718961173906
AP,2792,409,0.14648997134670488,0.11228062620295971,409,14.92930142338685
IKT,4616,2711,0.44302426343154244,0.11244608883454923,2045,15.0212844380863
DPU,157,26,0.03821656050955414,0.11285076771802435,6,85.32115449400912
TVGN,346,22,0.04046242774566474,0.1145001900418092,14,34.50854074428007
LITS,1075,162,0.08651162790697674,0.11489959956610303,93,21.0441736084183
ETS,583,44,0.04631217838765009,0.11690084550345888,27,58.27893509760453
GDHG,476,25,0.031512605042016806,0.11866055960319909,15,57.36437198039817
YIBO,322,13,0.037267080745341616,0.12117039586919105,12,100.52285577481594
IBIO,4614,2378,0.405938448201127,0.12268167618741599,1873,18.60947448121759
ACCL,490,26,0.03877551020408163,0.12428814336994953,19,49.90574200744277
AIRE,866,40,0.03464203233256351,0.1245203542886818,30,66.50366959599273
UPLD,390,31,0.046153846153846156,0.12804668726398902,18,52.24921545858532
BRLT,567,32,0.03880070546737213,0.13357986665068197,22,57.38420584221047
CURX,518,20,0.02895752895752896,0.13574790455567018,15,90.75365251557648
WIT,7857,3771,0.47995418098510884,0.1383495054098373,3771,8.634814680569592
ZSTK,425,18,0.03058823529411765,0.156825508987325,13,79.86378321597233
BTBD,286,10,0.024475524475524476,0.16122728161031855,7,91.42456837007524
SJ,276,42,0.08333333333333333,0.1818419936637813,23,53.17536905613792
VGAS,436,32,0.05045871559633028,0.19659862313799803,22,79.93729339013468
NHTC,602,19,0.011627906976744186,0.20983843425719165,7,66.8697174499555
